C,T,N,Kmax,Jmin,Tempo,HMenorJ,Seed,O
20,1,1000.0,20,7.676882573559671,1.0283669,false,2,true
20,1,1000.0,20,7.676882573559671,1.0283669,false,2,true
20,1,1000.0,20,7.676882573559671,1.0283669,false,2,true
40,1.2,100000.0,30,8.726851648836455,124.0032565,false,0,false
40,1,100000.0,30,7.715181780958089,46.8787097,false,2,true
40,1,100000.0,30,8.378900396270405,149.8113746,true,0,false
40,1.5,100000.0,30,9.989856849393085,148.9914975,true,0,false
40,0.8,100000.0,30,7.715181780958084,66.0880206,true,3,true
60,0.8,100000.0,30,9.525503312477188,218.2665393,false,0,false
60,1,100000.0,30,11.614391171322215,227.8387176,false,0,false
60,5,100000.0,30,40.07465049629151,223.2026754,false,0,false
60,0.5,100000.0,30,7.722296358324143,75.5822622,false,2,true
60,0.5,100000.0,30,9.143464768676905,218.246738,true,0,false
60,0.2,100000.0,30,7.722296358324144,150.714612,true,4,true
60,0.7,100000.0,30,14.060069200099937,231.8484495,true,0,false
60,0.4,100000.0,30,10.152339015033535,268.9273694,true,0,false
60,0.6,100000.0,30,9.658844427316655,277.7577485,true,0,false
80,0.5,100000.0,30,8.96438518493602,311.5694575,false,0,false
80,0.2,100000.0,30,8.597504341132222,311.4539312,false,0,false
80,0.3,100000.0,30,8.095825016656807,369.3142582,false,0,false
80,0.4,100000.0,30,9.223619062840198,382.7752215,false,0,false
80,0.06,100000.0,30,15.5703979057348,307.0096293,false,0,false
80,0.1,100000.0,30,14.93246900608529,322.9740544,false,0,false
80,0.08,100000.0,30,15.357678632801784,428.5421829,false,0,false
80,0.04,100000.0,30,17.195100027568735,419.0521456,false,0,false
80,0.3,1.0e6,30,8.521015260415913,0,false,0,false
80,0.2,1.0e6,30,9.731158872057424,0,false,0,false
80,0.5,10000.0,30,14.410254274938463,23.6860004,false,0,false
80,0.4,1.0e6,30,8.647905504727126,0,false,0,false
80,0.5,100000.0,40,8.96438518493602,580.3097623,false,0,false
80,0.3,100000.0,40,8.095348563872959,653.1055237,false,0,false
80,0.2,100000.0,40,8.597504341132222,662.8057127,false,0,false
80,0.4,100000.0,40,9.223619062840198,692.9887118,false,0,false
80,0.9,100000.0,30,17.89092069336806,458.569649,false,0,false
80,0.8,100000.0,30,15.137635401375169,473.6283472,false,0,false
80,0.7,100000.0,30,12.771367364781652,477.7707522,false,0,false
80,0.6,100000.0,30,15.130545235107352,516.7764389,false,0,false
80,0.6,100000.0,40,16.25987698623505,0,false,0,false
80,0.1,100000.0,100,14.93246900608529,2678.6042998,false,0,false
80,0.2,100000.0,100,8.597504341132222,2766.4084583,false,0,false
80,0.3,100000.0,100,8.095348563872959,2787.4546074,false,0,false
80,0.4,100000.0,100,9.020683873668249,2791.233351,false,0,false
